cleaned_description,50.72 section
"Brief Description: PPC IS NON FUNCTIONAL

Detailed Description: THE PPC HAS LOCKED UP AND IS NON FUNCTIONAL. THE ALARM TYPER IS NOT UPDATING, A PURPLE CURSOR HAS APPEARED AND COMPUTER POINTS ARE NOT UPDATING.

Extent of Condition: Identified

Comments: Immediate actions Taken: Contacted the computer group and they are responding. Performing actions for shutdown of the PPC and lowered reactor power. Maintaining reactor power 98 to 100% average on the APRMs at this time.",['50.72(b)(3)(xiii)']
"Brief Description: POTENTIAL KNOWLEDGE DEFICIENCY FOR NRC REPORTABILITY AS IT RELATES TO THE PPC PI INDICATIONS Detailed Description: WORK WAS PERFORMED UNDER WO C081406500 WHICH REMOVED PI FROM SERVICE. WO PLANNING WAS PROPERLY PERFORMED AND LICENSING AND EP ENGAGED AS TO THE REPORTABILITY FOR LOSS OF ASSESSMENT FUNCTION. BASED ON RESPONSE FROM EP IT WAS CONSIDERED A LOSS OF ASSESSMENT FUNCTION, AND LICENSING AGREED THAT LOSING PI MET THE REPORTING CRITERIA PER CNG-NL-1.01-1004, ATTACHMENT 2, FOR LOSS OF SPDS IF LOST FOR GREATER THAN 8 HOURS. THIS IS ALL BASED ON EOF AND TSC LOSING THE PI SIGNAL, NOT THE CONTROL ROOM LOSING SPDS. EPMP-EPP-13 DOES NOT SPECIFY PI AS BEING PART OF SPDS AND NEITHER DOES CNG-NL-1.01-1004. IT BRINGS INTO QUESTION IF WE HAVE MISSED 8 HOUR REPORTS FOR TIMES IN THE PAST WHEN PI HAS BEEN OUT OF SERVICE FOR GREATER THAN 8 HOURS. THE 6 SROS THAT WERE PRESENT AT SHIFT TURNOVER HAD NEVER CONSIDERED PI AS PART OF SPDS AND THE RESPONSE FROM LICENSING THROUGH EMAIL WAS THE FIRST TIME WE'VE HEARD THAT PI WAS CONSIDERED SPDS RELATED. RECOMMEND THAT THIS CR BE ASSIGNED TO LICENSING TO VALIDATE IF LOSING PI IS REPORTABLE AS A LOSS OF SPDS AS ORIGINALLY INDICATED THROUGH EMAIL. IF IT IS INDEED REPORTABLE THE RECOMMEND THAT LICENSING AND EP MAKE CHANGES TO CNG-NL-1.01-1004 AND EPMP-EPP-13 TO CAPTURE THIS. ALSO, N1-OP-42 AND THE N2-OP-91 PROCEDURE SHOULD INCLUDE SOME DISCUSSION ABOUT LOSS OF PI. Extent of Condition: Identified by Comments: Immediate actions Taken:",['50.72(b)(3)(xiii)']
"Brief Description: RECEIVED UNEXPECTED ANNUNCIATOR 601160 SPDS COMPUTER ALARM AND RADWASTE LWCS OPERATIONAL FAILURE

Detailed Description: UNEXPECTED ANNUNCIATOR 601160 SPDS COMPUTER ALARM AND RADWASTE LWCS OPERATIONAL FAILURE. SPDS IS NOT UPDATING. THE SHIFT MANAGER DECLARED SPDS NON-OPERATIONAL. PER N2-OP-91B, P&L 12.0 SPDS COMPUTER NON-OPERATIONAL FOR > 8 HOURS REQUIRES NRC NOTIFICATION

Extent of Condition: Identified by Comments: Immediate actions Taken: CONTACTED COMPUTER DEPARTMENT",[]
"Brief Description: NOTIFIED BY OSWEGO COUNTY EMERGENCY THAT THE TONE ALERT RADIOS HAVE BEEN OUT OF SERVICE SINCE 1305 ON 3/14/12 Detailed Description: WAS NOTIFIED AT 1435 BY KATIE YERKON OF OSWEGO COUNTY EMERGENCY THAT THE TONE ALERT RADIOS HAVE BEEN OUT OF SERVICE SINCE 1405 ON 3/14/12. THIS RESULTS IN A REQUIRED 8 HR NOTIFICATION TO THE NRC, LOSS OF COMMUNICATION/ASSESSMENT/RESPONSE. WE HAVE NOT BEEN INFORMED THAT THE RADIOS HAVE BEEN RETURNED TO SERVICE. ALSO OF NOTE THE RECS LINE IS OUT OF SERVICE ALSO AND DOES NOT REQUIRE ANY NOTIFICATION. A SERVICE REQUEST HAS BEEN SUBMITTED TO VERIZON. Extent of Condition: Identified by Comments: Immediate actions Taken:",[]
"Brief Description: LOSS OF PLANT PROCESS COMPUTER

Detailed Description: PLANT PROCESS COMPUTER LOCKED UP DUE TO EXECUTIVE PROGRAM FAILURE. COMPUTER DEPT NOTIFIED AND RESET.

Extent of Condition: Identified by Comments: Plant Process computer locked up with no alarms.

Immediate actions Taken:",['50.72(b)(3)(xiii)']
"Brief Description: FALSE ACTIVATION OF PNS SIREN #34

Detailed Description: AT 1915 ON 7/13, NMP WAS INFORMED OF FALSE ACTIVATION OF PNS SIREN #34 BY OSWEGO COUNTY EMERGENCY MANAGEMENT OFFICE. THE SIREN FALSELY ACTIVATED AT ~1740. SIREN #34 HAS BEEN SILENCED. TECHNICIANS HAVE BEEN DISPATCHED TO DETERMINE CAUSE OF ACTIVATION AND RESTORE SIREN #34 TO AN OPERABLE CONDITION. BACKUP MEASURES HAVE BEEN PUT IN PLACE TO NOTIFY RESIDENTS IF AN ACTUAL EMERGENCY WERE TO OCCUR WHILE THE SIREN IS OUT OF SERVICE. AT TIME 2105 EVENT NOTIFICATION HAS BEEN MADE IAW EPIP-EPP-30 ATT. 1. ALL ACTIONS PER EPIP-EPP-30 HAVE BEEN COMPLETED WITH EXCEPTION OF FOLLOW UP NOTIFICATION.

Extent of Condition: Identified by

Comments:

Immediate actions Taken: Siren #34 has been silenced. Technicians have been dispatched to determine cause of activation and restore siren #34 to an operable condition. Backup measures have been put in place to notify residents if an actual emergency were to occur while the siren is out of service.",['50.72(b)(2)(xi)']
"Brief Description: UNIT 1 REACTOR SCRAM. Detailed Description: ON JULY 17 2012, AT 11:18, NINE MILE POINT UNIT 1 EXPERIENCED AN AUTOMATIC REACTOR SCRAM DUE TO HIGH NEUTRON FLUX AS MEASURED BY THE AVERAGE POWER RANGE MONITORING SYSTEM. THE CAUSE IS CURRENTLY UNDER INVESTIGATION. ALL CONTROL RODS FULLY INSERTED AND ALL PLANT SYSTEMS RESPONDED PER DESIGN FOLLOWING THE SCRAM. THE HIGH PRESSURE COOLANT INJECTION SYSTEM, WHICH IS AN OPERATING MODE OF THE FEEDWATER SYSTEM, INITIATED AS EXPECTED. THERE WERE NO PLANNED ACTIVITIES IN PROGRESS AT THE TIME WHICH COULD HAVE CONTRIBUTED TO THE EVENT. NINE MILE POINT UNIT 1 IS CURRENTLY IN HOT SHUTDOWN, WITH REACTOR WATER LEVEL AND PRESSURE MAINTAINED WITHIN NORMAL BANDS. DECAY HEAT IS BEING REMOVED VIA STEAM TO THE MAIN CONDENSER USING THE BYPASS VALVES. THE OFFSITE GRID IS STABLE WITH NO GRID RESTRICTIONS OR WARNINGS IN EFFECT. ALL EMERGENCY POWER SOURCES ARE AVAILABLE IN STANDBY. THE UNIT IS CURRENTLY IMPLEMENTING POST SCRAM RECOVERY PROCEDURES. Extent of Condition: Identified by Comments: Immediate actions Taken:",[]
"Brief Description: POTENTIAL VULNERABILITY UNCOVERED DURING NMP SHIFT STAFFING STUDY Detailed Description: DURING NMP SHIFT STAFFING STUDY, A POTENTIAL VULNERABILITY WAS UNCOVERED IN THAT THE ERDS SYSTEM IS REQUIRED TO BE ACTIVATED WITHIN 1 HOUR OF AN EVENT DECLARATION. CURRENTLY THIS TASK IS ASSIGNED TO THE TSC ENS OPERATOR AS ONE OF THEIR TASKS UPON ARRIVAL IN THE TSC. THE VULNERABILITY EXISTS IF THE ENS COMMUNICATOR DOES NOT REPORT WITHIN AN HOUR OF EVENT DECLARATION, AND THEREFORE WOULD NOT ACTIVATE ERDS WITHIN THE REQUIRED 1 HOUR AFTER EVENT DECLARATION. Extent of Condition: Identified by Comments: Immediate actions Taken: GSO's contacted to align on publishing Night Note to direct actions until procedure is updated.",[]
"Brief Description: LOSS OF LINE 5 WITH AUTOMATIC INITIATION OF THE DIV 1 EDG. Detailed Description: LOSS OF OFFSITE LINE 5, THE DIVISION 1 DIESEL HAS STARTED AND ENERGIZED ITS BUS. ENTERED N2-SOP-03 LOSS OF AC POWER ENTERED N2-SOP-06 FEEDWATER FAILURES DUE TO ALL 2FWS-LV10A,B AND C ACTUATORS LOCKING UP LEVEL IS RISING. 345KV BUS A IN THE SCRIBA SWITCHYARD IS DE-ENERGIZED. BREAKER R230 IS TRIPPED OPEN. Extent of Condition: Identified by Comments: Immediate actions Taken: Entered N2-SOP-03/06. 8 hour report completed at 0335 (EN# 48456) see attached.",['50.72(b)(3)(iv)(A)']
Brief Description: HONEYWELL PPC HAS STALLED. PURPLE CURSOR ON SPDS. DECLARED PPC INOPERABLE. Detailed Description: HONEYWELL PPC HAS STALLED. PURPLE CURSOR ON SPDS. DECLARED PPC INOPERABLE. PRI 1 ISSUE. Extent of Condition: Identified by Comments: Immediate actions Taken: Restarted Honeywell PPC per N1-COMP-PPC-V001. The PPC was restored to functional status 60 minutes after the loss.,['50.72(b)(3)(xiii)']
"Brief Description: CONSTRUCTION LOOP POWER OUTAGE

Detailed Description: AT 0235 POWER WAS LOST TO THE NMP CONSTRUCTION POWER LOOP. U2 RESPONDED PER SECTION H.14 OF N2-OP-71A. DUE TO THE LOSS OF POWER TO MET TOWER INSTRUMENTS AND SERVERS, UNIT 1 AND 2 CONTROL ROOMS DID NOT HAVE ANY METEOROLOGICAL DATA AVAIABLE EXCEPT THE TELEPHONE LINE BACKUP DATA FROM NAT'L WEATHER SERVICE OR FITZPATRICK. AS REFERENCED IN N2-OP-71A AND N1-OP-64, THE LOSS OF MET DATA IS A REPORTABLE CONDITION. MET DATA INDICATIONS WERE RESTORED AT 0455. THE NRC REPORT WAS COMPLETED AT 0942, EN #48901.

Extent of Condition: 

Identified by Comments: Immediate actions Taken:",[]
"Brief Description: LOSS OF CONSTRUCTION POWER LOOP

Detailed Description: POWER CONTROL (CULLIGAN) REPORTS THAT SCRIBA SWITCHYARD HAS ALARM FOR LOSS OF STATION SERVICE. THE LOSS OF POWER TO THE SUBSTATION Z (THE NORMAL SUPPLY TO CONSTRUCTION LOOP POWER) WAS CAUSED BY A RACCOON IN THE LAKE ROAD STATION. NON POWER BLOCK POWER WAS LOST.

Extent of Condition: Identified by

Comments:

Immediate actions Taken: Entered TRM 3.3.10 Condition A, Action due to a loss of Met Data inputs to the Control Room. N2-OP-71A was used to restore Construction Power Loop using the alternate supply, Substation A.",[]
"Brief Description: INOPERABLE NEW YORK STATE RECS LINE

Detailed Description: AT 0707 NINE MILE POINT WAS NOTIFIED BY JAF THAT THE RECS LINE, AND ALL LAND LINES, WITH NYS WARNING POINT WERE INOPERABLE AS OF APPROXIMATELY 0400 THIS MORNING. THIS WAS CONFIRMED THEN COMMUNICATED TO THE CONTROL ROOMS AT 0734 THIS MORNING. A BACK-UP METHOD TO CONTACT NYS WARNING POINT WAS ALSO PROVIDED AT THIS TIME (CELL PHONES). FOLLOW UP WITH THE NYS REP OFFICE CONFIRMED STATUS AT 0800. 

TIMELINE OF EVENTS IS AS FOLLOWS:
0330 NYS WARNING POINT LOSES RECS AND LANDLINE COMMUNICATIONS
~0400 JAF INFORMED OF LOSS OF COMMUNICATION CAPABILITY TO NYS WARNING POINT
0707 JAF NOTIFIES NMP OF LOSS OF COMMUNICATION CAPABILITY WITH NYS WARNING POINT (COURTESY NOTIFICATION)
0707 - 0730 NMP CONFIRMS LOSS OF COMMUNICATION WITH JAF AND DETERMINES EXTENT OF CONDTION
0734 BACK-UP METHOD OF COMMUNICATION WITH NYS WARNING POINT PROVIDED TO CONTROL ROOMS
0925 TESTS CONDUCTED WITH NYS WARNING POINT VERIFIED RECS OPERABILITY AND PHONE COMMUNICATIONS HAVE BEEN RETURNED TO SERVICE

Extent of Condition: Identified by

Comments: Immediate actions Taken: Control Rooms informed and backup method of communication provided.",['50.72(b)(3)(xiii)']
"Brief Description: ATS 'D' ECS HI STEAM FLOW 36-06 GROSS FAIL LIGHT

Detailed Description: RECEIVED RPS CH 12 ATS TROUBLE LIGHT. ATS 'D' ECS HI STM FLOW, 36-06D WAS FOUND TO HAVE A GROSS FAIL LIGHT THAT COULD NOT BE RESET. ATS METER INDICATION WAS DOWNSCALE AS EXPECTED FOR CURRENT PLANT CONDITIONS. 36-06D TO RPS CH 12 DECLARED INOPERABLE FOR HIGH STEAM FLOW EMERGENCY COOLING ISOLATION. THIS RESULTS IN LESS THAN MINIMUM NUMBER OF OPERABLE INSTRUMENT CHANNELS FOR RPS TRIP SYSTEM 12. NOTE (F) APPLIES: ""WITH THE NUMBER OF OPERABLE CHANNELS ONE LESS THAN REQUIRED BY THE MINIMUM NUMBER OF OPERABLE INSTRUMENT CHANNELS PER OPERABLE TRIP SYSTEM REQUIREMENT FOR ONE TRIP SYSTEM.. 1. PLACE THE INOPERABLE CHANNEL(S) IN THE TRIPPED CONDITION WITHIN 24 HOURS"".

Extent of Condition: Identified by Comments:

Immediate actions Taken:",['50.72(b)(3)(v)(D)']
"Brief Description: REQUIRED NRC NOTIFICATION LATE. Detailed Description: CR-2012-004408 IDENTIFIED A SHORTCOMINGS ASSOCIATED WITH THE IMPLEMENTATION OF THE TECHNICAL SPECIFICATION SURVEILLANCE PROGRAM. AFTER THE INITIATION OF THE CR IT WAS SUBSEQUENTLY DETERMINED THAT SPECIFIC CIRCUMSTANCES IDENTIFIED IN THE CR WERE REPORTABLE. THIS IS AN EIGHT HOUR REPORT. THE ACTUAL REPORT TO THE NUCLEAR REGULATORY COMMISSION (NRC) VIA THE EMERGENCY NOTIFICATION SYSTEM (ENS) LINE WAS MADE SEVERAL HOURS BEYOND THE EIGHT HOUR REQUIREMENT AFTER THE ACTUAL REPORTABLE CONDITION EXISTED. THIS CR IS ADMINISTRATIVE IN NATURE NOT IMPACTING TO THE OPERATION OF ANY STATION STRUCTURES, SYSTEMS OR COMPONENTS. THE PURPOSE OF THIS CR IS TO DOCUMENT THE LATE REPORT TO THE NRC, WHICH WAS NOT CAPTURED IN CR 2013-004408. NOTE THAT THE LATE REPORT WAS ACKNOWLEDGED AND REPORTED ON THE NRC FORM 361 WHICH WAS USED TO MAKE THE NRC NOTIFICATION. A COPY OF THE NRC FORM 361 IS ATTACHED TO CR 2013-004408. Extent of Condition: Identified by Comments: Immediate actions Taken:",[]
"Brief Description: NRC HAS IDENTIFIED A SEVERITY LEVEL IV NCV FOR INAPPROPRIATELY RETRACTED AN EVENT NOTIFICATION REPORT (ENR) AND SUBSEQUENTLY FAILING TO MAKE THE REQUIRED LICENSEE EVENT REPORT (LER) FOR A VALID ACTUATION OF THE HPCI SYSTEM.

Detailed Description: NRC INSPECTION REPORT 2013-002 (ATTACHED) DATED MAY 9, 2013 DOCUMENTS A GREEN NCV. THE INSPECTION REPORT STATES: ""THE INSPECTORS IDENTIFIED A SEVERITY LEVEL IV NCV OF REGULATIONS IN THAT UNIT 1 INAPPROPRIATELY RETRACTED AN EVENT NOTIFICATION REPORT (ENR) AND SUBSEQUENTLY FAILED TO MAKE THE REQUIRED LICENSEE EVENT REPORT (LER) FOR A VALID ACTUATION OF THE HPCI SYSTEM. SPECIFICALLY, CONSTELLATION INAPPROPRIATELY RETRACTED ENR NUMBER 48477, AN 8-HOUR NOTIFICATION FOR A VALID HPCI ACTUATION AND FAILED TO SUBMIT AN LER WITHIN 60 DAYS OF DISCOVERY OF THE ACTUATION. CONSTELLATION ENTERED THIS ISSUE INTO THEIR CAP AS CR-2013-001859. THE INSPECTORS DETERMINED THAT THE INAPPROPRIATE RETRACTION OF A NOTIFICATION REQUIRED AND FAILURE TO MAKE A REQUIRED EVENT REPORT WERE PERFORMANCE DEFICIENCIES THAT WERE REASONABLY WITHIN CONSTELLATION'S ABILITY TO FORESEE AND CORRECT AND SHOULD HAVE BEEN PREVENTED. BECAUSE THIS ISSUE HAD THE POTENTIAL TO AFFECT THE NRC'S ABILITY TO PERFORM ITS REGULATORY FUNCTION, THE INSPECTORS EVALUATED THESE PERFORMANCE DEFICIENCIES IN ACCORDANCE WITH THE TRADITIONAL ENFORCEMENT PROCESS. USING EXAMPLE 6.9.D.9 FROM THE NRC ENFORCEMENT POLICY, THE INSPECTORS DETERMINED THAT THE VIOLATION WAS A SEVERITY LEVEL IV (MORE THAN MINOR CONCERN THAT RESULTED IN NO OR RELATIVELY INAPPRECIABLE POTENTIAL SAFETY OR SECURITY CONSEQUENCE) VIOLATION. BECAUSE THIS VIOLATION INVOLVES THE TRADITIONAL ENFORCEMENT PROCESS AND DOES NOT HAVE AN UNDERLYING TECHNICAL VIOLATION THAT WOULD BE CONSIDERED MORE THAN MINOR, THE INSPECTORS DID NOT ASSIGN A CROSS-CUTTING ASPECT TO THIS VIOLATION IN ACCORDANCE WITH PROCEDURES."" THE SUBJECT EVENT WAS ADDRESSED IN A CAT 2, TIER 2 CR 2013-001859. SINCE THE INITIAL ANALYSIS IN APRIL 2013, THE NRC HAS CHARACTERIZED THE EVENT AS A LEVEL IV NCV WITH NO CROSS CUTTING ASPECT. THIS NEW CR IS BEING GENERATED TO REVISIT THE INITIAL EVALUATION AND COMPARE IT TO THE NRC'S CHARACTERIZATION OF THE EVENT AS DOCUMENTED IN THE ATTACHED INSPECTION REPORT. THE GOAL IS TO DETERMINE IF ANY ADDITIONAL CAUSE EVALUATIONS OR ACTIONS ARE WARRANTED BEYOND THOSE ALREADY TAKEN OR PLANNED. RECOMMEND ASSIGNMENT TO LICENSING (ORGANIZATION THAT DISPOSITIONED THE ORIGINAL CR) TO COMPLETE A GAP ANALYSIS. NOTE TO SCREENING COMMITTEE: PER CNG-CA-1.01-1000, ATTACHMENT 3, CR FOR NRC GREEN NCVS OR FINDINGS THAT HAVE NO CROSS CUTTING COMPONENT SHOULD BE CATEGORIZED AS CAT 2 TIER 2.

Extent of Condition:
Identified by
Comments:
Immediate actions Taken:",['50.72(b)(3)(iv)(A)']
"Brief Description: CR INITIATED TO CREATE WO TO CONDUCT THERMOGRAPHY AND VISUAL INSPECTIONS OF VALVES VLV-36-374 AND VLV-89-72

Detailed Description: CREATE WO TO CONDUCT THERMOGRAPHY AND VISUAL INSPECTIONS OF NMP1 VALVES VLV-36-374 AND VLV-89-72. CAUSE EVALUATION IS IN PROGRESS TO DETERMINE CAUSE(S) OF PROBLEM IDENTIFIED IN CR-2013-004347. THE PROBLEM STATEMENT IS: ""ON MAY 14, 2013, AT 1154 HRS, WHILE IN THE STARTUP MODE AND AT 3% POWER, THE SECOND CHANNEL (12) OF TWO CHANNELS OF HIGH STEAM FLOW SENSING INSTRUMENTATION FOR EMERGENCY CONDENSER (EC) LOOP #11 ALARMED DUE TO GROSS FAILURE RESULTING IN LOSS OF EC LOOP 11 ISOLATION CAPABILITY DUE TO HIGH STEAM FLOW. THE FIRST CHANNEL (11) ALARMED AT 0840 HRS ON MAY 14, 2013. THIS IS SIGNIFICANT FROM A NUCLEAR SAFETY PERSPECTIVE BECAUSE THIS INSTRUMENTATION IS REQUIRED FOR THE MITIGATION OF THE CONSEQUENCES OF AN ACCIDENT. THE EVENT WAS REPORTABLE TO THE NRC."" THE FAILURE MODES AND EFFECTS ANALYSIS (FMEA) INDICATED A POTENTIAL CAUSE AS MINOR LEAKBY OF VALVES VLV-36-374 AND VLV-89-72. THIS ACTIVITY IS INTENDED TO PROVIDE INFORMATION TO REFUTE OR SUBSTANTIATE THE FMEA. SINCE STARTUP FROM N1RF22, INSTRUMENTATION IS FUNCTIONING WITH NO ABNORMAL INDICATIONS. THE WO IS INTENDED TO CONDUCT THERMOGRAPHIC AND VISUAL INSPECTIONS OF THESE VALVES IN THE EAST INSTRUMENT ROOM (~281'EL).

Extent of Condition: Identified by

Comments: Immediate actions Taken:",[]
"Brief Description: TSC AIR CONDITIONING UNIT TRIPPED

Detailed Description: DURING A TRANSIT THROUGH THE TSC, THE TSC AIR CONDITIONING UNIT WAS FOUND TRIPPED. FIN ELECTRICIANS ATTEMPTED A RESET. THEY WERE ABLE TO START THE SECONDARY COILS, BUT THE PRIMARY COILS REMAINED TRIPPED. ROOM TEMPERATURE IS APPROXIMATELY 87 - 89B0F. THIS IS LIKELY DUE TO OPERATION ON ONLY THE SECONDARY COILS.

Extent of Condition: Identified by

Comments:

Immediate actions Taken: Notified Control Room",['50.72(b)(3)(xiii)']
